model,dataset,prefix_ratio,accuracy,correct,total,avg_rougeL_f,no_boxed_count,no_boxed_ratio
Llama-3.1-8B-Instruct,aime2025,0.4,0.0,0,30,0.03557491008563196,11,0.36666666666666664
Llama-3.1-8B-Instruct,aime2025,0.6,0.0,0,30,0.021772492644282944,13,0.43333333333333335
Llama-3.1-8B-Instruct,aime2025,0.8,0.0,0,30,0.01609757114252591,10,0.3333333333333333
Llama-3.1-8B-Instruct,aime2025,1.0,0.0,0,30,0.0,11,0.36666666666666664
Llama-3.1-8B-Instruct,math500,0.4,0.052,26,500,0.028973702742414995,125,0.25
Llama-3.1-8B-Instruct,math500,0.6,0.086,43,500,0.01959234796083912,127,0.254
Llama-3.1-8B-Instruct,math500,0.8,0.172,86,500,0.011701147378731534,125,0.25
Llama-3.1-8B-Instruct,math500,1.0,0.398,199,500,0.0,93,0.186
Llama-3.2-1B-Instruct,aime2025,0.4,0.0,0,30,0.05910532371335799,11,0.36666666666666664
Llama-3.2-1B-Instruct,aime2025,0.6,0.0,0,30,0.04145078088272126,12,0.4
Llama-3.2-1B-Instruct,aime2025,0.8,0.0,0,30,0.02515192676397624,13,0.43333333333333335
Llama-3.2-1B-Instruct,aime2025,1.0,0.0,0,30,0.0,12,0.4
Llama-3.2-1B-Instruct,math500,0.4,0.028,14,500,0.07277404951385916,110,0.22
Llama-3.2-1B-Instruct,math500,0.6,0.042,21,500,0.05075382633163073,131,0.262
Llama-3.2-1B-Instruct,math500,0.8,0.078,39,500,0.029372916882868357,130,0.26
Llama-3.2-1B-Instruct,math500,1.0,0.196,98,500,0.0,123,0.246
Qwen2.5-1.5B,aime2025,0.4,0.0,0,30,0.08163678957588383,13,0.43333333333333335
Qwen2.5-1.5B,aime2025,0.6,0.0,0,30,0.055987707378513156,10,0.3333333333333333
Qwen2.5-1.5B,aime2025,0.8,0.0,0,30,0.03378527740913872,4,0.13333333333333333
Qwen2.5-1.5B,aime2025,1.0,0.0,0,30,0.0,11,0.36666666666666664
Qwen2.5-1.5B,math500,0.4,0.024,12,500,0.08519455294305624,200,0.4
Qwen2.5-1.5B,math500,0.6,0.042,21,500,0.05813465025754843,192,0.384
Qwen2.5-1.5B,math500,0.8,0.092,46,500,0.03276719283741194,178,0.356
Qwen2.5-1.5B,math500,1.0,0.224,112,500,0.0,188,0.376
Qwen2.5-Math-7B-Instruct,aime2025,0.4,0.0,0,30,0.07814567860497089,3,0.1
Qwen2.5-Math-7B-Instruct,aime2025,0.6,0.0,0,30,0.04252280465406296,3,0.1
Qwen2.5-Math-7B-Instruct,aime2025,0.8,0.0,0,30,0.027403100673784778,5,0.16666666666666666
Qwen2.5-Math-7B-Instruct,aime2025,1.0,0.1,3,30,0.0,1,0.03333333333333333
Qwen2.5-Math-7B-Instruct,math500,0.4,0.104,52,500,0.07138100186060792,29,0.058
Qwen2.5-Math-7B-Instruct,math500,0.6,0.198,99,500,0.05094297291912558,29,0.058
Qwen2.5-Math-7B-Instruct,math500,0.8,0.346,173,500,0.02848024207751856,17,0.034
Qwen2.5-Math-7B-Instruct,math500,1.0,0.71,355,500,0.0,16,0.032
llama_from_qwen_merged,aime2025,0.4,0.0,0,30,0.06945862761561584,17,0.5666666666666667
llama_from_qwen_merged,aime2025,0.6,0.0,0,30,0.04690876604148688,19,0.6333333333333333
llama_from_qwen_merged,aime2025,0.8,0.0,0,30,0.01951227214147749,22,0.7333333333333333
llama_from_qwen_merged,aime2025,1.0,0.0,0,30,0.0,23,0.7666666666666667
llama_from_qwen_merged,math500,0.4,0.032,16,500,0.06954078911849967,150,0.3
llama_from_qwen_merged,math500,0.6,0.062,31,500,0.04898043225593279,163,0.326
llama_from_qwen_merged,math500,0.8,0.096,48,500,0.02719762464754982,170,0.34
llama_from_qwen_merged,math500,1.0,0.238,119,500,0.0,161,0.322
llama_instruct_from_llama_merged,aime2025,0.4,0.0,0,30,0.07790260323476016,22,0.7333333333333333
llama_instruct_from_llama_merged,aime2025,0.6,0.0,0,30,0.0532987332995341,23,0.7666666666666667
llama_instruct_from_llama_merged,aime2025,0.8,0.0,0,30,0.030105955619740922,22,0.7333333333333333
